"","gene","ensembl_gene_id"
"0","Xkr4","ENSMUSG00000051951"
"1","Gm1992","ENSMUSG00000089699"
"2","Gm37381","ENSMUSG00000102343"
"3","Rp1","ENSMUSG00000025900"
"4","Sox17","ENSMUSG00000025902"
"5","Gm37323","ENSMUSG00000104328"
"6","Mrpl15","ENSMUSG00000033845"
"7","Lypla1","ENSMUSG00000025903"
"8","Gm37988","ENSMUSG00000104217"
"9","Tcea1","ENSMUSG00000033813"
"10","Rgs20","ENSMUSG00000002459"
"11","Gm16041","ENSMUSG00000085623"
"12","Atp6v1h","ENSMUSG00000033793"
"13","Oprk1","ENSMUSG00000025905"
"14","Npbwr1","ENSMUSG00000033774"
"15","Rb1cc1","ENSMUSG00000025907"
"16","4732440D04Rik","ENSMUSG00000090031"
"17","Alkal1","ENSMUSG00000087247"
"18","St18","ENSMUSG00000033740"
"19","Pcmtd1","ENSMUSG00000051285"
"20","Gm26901","ENSMUSG00000097797"
"21","Gm30414","ENSMUSG00000103067"
"22","Sntg1","ENSMUSG00000025909"
"23","Rrs1","ENSMUSG00000061024"
"24","Adhfe1","ENSMUSG00000025911"
"26","Gm29520","ENSMUSG00000099827"
"27","Mybl1","ENSMUSG00000025912"
"28","Vcpip1","ENSMUSG00000045210"
"29","1700034P13Rik","ENSMUSG00000097893"
"30","Sgk3","ENSMUSG00000025915"
"31","Mcmdc2","ENSMUSG00000046101"
"32","Snhg6","ENSMUSG00000098234"
"33","Tcf24","ENSMUSG00000099032"
"34","Ppp1r42","ENSMUSG00000025916"
"35","Gm15818","ENSMUSG00000087199"
"36","Cops5","ENSMUSG00000025917"
"37","Cspp1","ENSMUSG00000056763"
"38","Arfgef1","ENSMUSG00000067851"
"39","Cpa6","ENSMUSG00000042501"
"40","Prex2","ENSMUSG00000048960"
"41","A830018L16Rik","ENSMUSG00000057715"
"42","Gm17644","ENSMUSG00000097171"
"43","Gm29663","ENSMUSG00000101314"
"44","Sulf1","ENSMUSG00000016918"
"45","Slco5a1","ENSMUSG00000025938"
"46","Gm29283","ENSMUSG00000099498"
"47","Prdm14","ENSMUSG00000042414"
"48","Ncoa2","ENSMUSG00000005886"
"49","Gm29570","ENSMUSG00000101476"
"50","Tram1","ENSMUSG00000025935"
"51","Lactb2","ENSMUSG00000025937"
"52","Xkr9","ENSMUSG00000067813"
"53","Eya1","ENSMUSG00000025932"
"54","Gm9947","ENSMUSG00000054493"
"55","Msc","ENSMUSG00000025930"
"56","Trpa1","ENSMUSG00000032769"
"57","Kcnb2","ENSMUSG00000092083"
"58","Terf1","ENSMUSG00000025925"
"59","Sbspon","ENSMUSG00000032719"
"60","4930444P10Rik","ENSMUSG00000067795"
"61","Rpl7","ENSMUSG00000043716"
"62","Rdh10","ENSMUSG00000025921"
"63","Gm28095","ENSMUSG00000100868"
"64","Stau2","ENSMUSG00000025920"
"65","Gm7568","ENSMUSG00000089982"
