gene_name,Gene stable ID
A2M,
A2ML1,ENSMFAG00000045869
A3GALT2,
A4GALT,ENSMFAG00000030432
AAAS,ENSMFAG00000039804
AACS,ENSMFAG00000028497
AADAC,ENSMFAG00000031479
AADACL2,ENSMFAG00000042922
AADACL3,ENSMFAG00000038244
AADACL4,
AADAT,ENSMFAG00000042881
AAGAB,ENSMFAG00000040550
AAK1,ENSMFAG00000032641
AAMDC,ENSMFAG00000034422
AAMP,ENSMFAG00000034415
AANAT,ENSMFAG00000030450
AAR2,ENSMFAG00000030564
AARD,ENSMFAG00000036725
AARS,
AARS2,ENSMFAG00000037353
AASDH,ENSMFAG00000033449
AASDHPPT,ENSMFAG00000046243
AASS,ENSMFAG00000038411
AATF,ENSMFAG00000003108
AATK,
ABAT,ENSMFAG00000032053
ABCA1,ENSMFAG00000002145
ABCA10,ENSMFAG00000003350
ABCA12,ENSMFAG00000041527
ABCA13,ENSMFAG00000002061
ABCA2,
ABCA3,ENSMFAG00000033360
ABCA4,ENSMFAG00000032139
ABCA5,ENSMFAG00000041992
ABCA6,ENSMFAG00000003737
ABCA7,ENSMFAG00000003292
ABCA8,ENSMFAG00000046401
ABCA9,ENSMFAG00000042813
ABCB1,
ABCB10,ENSMFAG00000002787
ABCB11,ENSMFAG00000037604
ABCB5,ENSMFAG00000020450
ABCB6,ENSMFAG00000044424
ABCB7,ENSMFAG00000041203
ABCB8,ENSMFAG00000037503
ABCB9,ENSMFAG00000002483
ABCC1,ENSMFAG00000039441
ABCC10,ENSMFAG00000036554
ABCC11,ENSMFAG00000030745
ABCC12,ENSMFAG00000039229
ABCC2,ENSMFAG00000042907
ABCC3,ENSMFAG00000040341
ABCC4,ENSMFAG00000042513
ABCC5,ENSMFAG00000038091
ABCC6,ENSMFAG00000001420
ABCC8,ENSMFAG00000035952
ABCC9,ENSMFAG00000041870
ABCD1,
ABCD2,ENSMFAG00000002050
ABCD3,ENSMFAG00000044222
ABCD4,ENSMFAG00000031273
ABCE1,ENSMFAG00000038310
ABCF1,ENSMFAG00000001346
ABCF2,ENSMFAG00000034542
ABCF3,ENSMFAG00000000479
ABCG1,ENSMFAG00000035347
ABCG2,
ABCG4,ENSMFAG00000046033
ABCG5,ENSMFAG00000003442
ABCG8,ENSMFAG00000045442
ABHD1,ENSMFAG00000041476
ABHD10,ENSMFAG00000038045
ABHD11,ENSMFAG00000041965
ABHD12,ENSMFAG00000002681
ABHD12B,ENSMFAG00000035570
ABHD13,ENSMFAG00000049251
