Gene_stable_ID,Gene_name
ENSMFAG00000026972,
ENSMFAG00000044637,PGBD2
ENSMFAG00000032500,TCEANC2
ENSMFAG00000000628,MEX3A
ENSMFAG00000065280,U6
ENSMFAG00000030252,U1
ENSMFAG00000000115,RAB25
ENSMFAG00000014351,U6
ENSMFAG00000048980,U1
ENSMFAG00000017869,
ENSMFAG00000033997,LAMC1
ENSMFAG00000039587,ACTRT3
ENSMFAG00000060721,U6
ENSMFAG00000040959,GJA8
ENSMFAG00000011984,U6
ENSMFAG00000041380,KLF17
ENSMFAG00000016426,U8
ENSMFAG00000054875,CTTNBP2NL
ENSMFAG00000002199,NEXN
ENSMFAG00000038045,ABHD10
ENSMFAG00000022133,PPP2R3A
ENSMFAG00000039056,ZNF692
ENSMFAG00000036601,RCC2
ENSMFAG00000017312,U6
ENSMFAG00000034575,MYNN
ENSMFAG00000018627,GJA5
ENSMFAG00000035079,U6
ENSMFAG00000001270,WARS2
ENSMFAG00000035168,IL24
ENSMFAG00000043364,C1orf174
ENSMFAG00000000647,PLCL2
ENSMFAG00000046150,CRTC2
ENSMFAG00000035463,SLC5A9
ENSMFAG00000042415,BLZF1
ENSMFAG00000040797,SH2D1B
ENSMFAG00000033134,TMEM59
ENSMFAG00000001539,DFFB
ENSMFAG00000018166,LAMTOR2
ENSMFAG00000001280,TXNRD3
ENSMFAG00000044269,TBX15
ENSMFAG00000046094,OSBPL10
ENSMFAG00000002737,SH3BP5L
ENSMFAG00000041889,CFAP45
ENSMFAG00000005783,U6
ENSMFAG00000004539,
ENSMFAG00000031011,ARHGEF26
ENSMFAG00000037492,DENND4B
ENSMFAG00000002406,DAZL
ENSMFAG00000042773,
ENSMFAG00000033129,FCMR
ENSMFAG00000002560,PADI6
ENSMFAG00000030982,MSL2
ENSMFAG00000041326,CCDC181
ENSMFAG00000003493,JAK1
ENSMFAG00000036309,
ENSMFAG00000000974,LAMC2
ENSMFAG00000002615,LRRC34
ENSMFAG00000043409,SPAG17
ENSMFAG00000003658,
ENSMFAG00000008832,U1
ENSMFAG00000024078,
ENSMFAG00000042345,GATAD2B
ENSMFAG00000042062,LDLRAD1
ENSMFAG00000043580,RFTN1
ENSMFAG00000046287,ACP6
ENSMFAG00000003273,VSIG8
ENSMFAG00000039988,SLC19A2
ENSMFAG00000034570,WDR3
ENSMFAG00000038611,PIGR
ENSMFAG00000003902,TRABD2B
ENSMFAG00000001813,TNN
ENSMFAG00000011773,U6
ENSMFAG00000000702,SLC6A9
ENSMFAG00000002047,KCND3
ENSMFAG00000042126,MIGA1
ENSMFAG00000040060,SSR2
ENSMFAG00000031436,RAVER2
ENSMFAG00000039214,SPATA46
ENSMFAG00000000508,LYPD8
ENSMFAG00000030906,PADI4
ENSMFAG00000032288,DHX36
ENSMFAG00000003422,
ENSMFAG00000033658,LRRIQ4
ENSMFAG00000000945,FCAMR
ENSMFAG00000002641,SRP9
ENSMFAG00000039610,EFCAB2
ENSMFAG00000045882,GDAP2
ENSMFAG00000037149,
ENSMFAG00000031755,DDX20
ENSMFAG00000043762,BCL9
ENSMFAG00000032848,C3orf22
ENSMFAG00000036770,RIMS3
ENSMFAG00000042386,SLC27A3
ENSMFAG00000045747,F5
ENSMFAG00000041467,CEP104
ENSMFAG00000040572,
ENSMFAG00000040313,OLFML2B
ENSMFAG00000043666,OXNAD1
ENSMFAG00000026265,CCDC24
ENSMFAG00000044324,SLAMF8
ENSMFAG00000050967,C1orf116
ENSMFAG00000037670,CACHD1
ENSMFAG00000051710,KIAA0040
ENSMFAG00000005303,U6
ENSMFAG00000000457,PCCB
ENSMFAG00000042908,B4GALT2
ENSMFAG00000059847,U6
ENSMFAG00000032747,LRRC42
ENSMFAG00000003366,LRRC31
ENSMFAG00000042527,PADI3
ENSMFAG00000043841,NMNAT2
ENSMFAG00000059171,U6
ENSMFAG00000030860,GPR149
ENSMFAG00000008338,INTS3
ENSMFAG00000034820,U6
ENSMFAG00000039504,
ENSMFAG00000059314,ATF6
ENSMFAG00000039633,MME
ENSMFAG00000046258,PADI1
ENSMFAG00000042171,MAN1A2
ENSMFAG00000041915,PFKFB2
ENSMFAG00000002038,IRAK2
ENSMFAG00000035854,
ENSMFAG00000035099,
ENSMFAG00000000321,ZNF684
ENSMFAG00000043562,CHD1L
ENSMFAG00000034906,ARHGEF2
ENSMFAG00000045730,LRRC47
ENSMFAG00000034202,RAP1A
ENSMFAG00000041705,STT3B
ENSMFAG00000050902,DPH2
ENSMFAG00000031760,PYCR2
ENSMFAG00000039645,STRIT1
ENSMFAG00000063078,U6
ENSMFAG00000024825,UBE2U
ENSMFAG00000042232,UROC1
ENSMFAG00000036068,SELP
ENSMFAG00000031148,
ENSMFAG00000037196,PHLDB2
ENSMFAG00000041475,SMIM1
ENSMFAG00000008984,EXO5
ENSMFAG00000039265,FCRL6
ENSMFAG00000031291,SDE2
ENSMFAG00000043479,DPH3
ENSMFAG00000038286,TNR
ENSMFAG00000040306,PADI2
ENSMFAG00000024408,STIL
ENSMFAG00000004551,U6
ENSMFAG00000044546,SAMD7
ENSMFAG00000044226,TATDN2
ENSMFAG00000033058,NPR1
ENSMFAG00000041091,ROR1
ENSMFAG00000034074,DIO1
ENSMFAG00000039059,CCDC27
ENSMFAG00000037308,HNRNPU
ENSMFAG00000037561,VTCN1
ENSMFAG00000040291,GALNT15
ENSMFAG00000002528,TMIGD3
ENSMFAG00000046123,USP33
ENSMFAG00000042617,SELL
ENSMFAG00000003201,KHDC4
ENSMFAG00000030569,YOD1
ENSMFAG00000038294,ZFP69
ENSMFAG00000032846,IPO13
ENSMFAG00000031653,SMG7
ENSMFAG00000022559,
ENSMFAG00000037335,OR2G6
ENSMFAG00000001279,SELE
ENSMFAG00000017749,SEC62
ENSMFAG00000035930,ZXDC
ENSMFAG00000043669,GHRL
ENSMFAG00000011493,
ENSMFAG00000034178,GADL1
ENSMFAG00000045670,ACBD3
ENSMFAG00000037304,
ENSMFAG00000051399,U6
ENSMFAG00000054543,RIT1
ENSMFAG00000037537,ARTN
ENSMFAG00000034319,C1orf162
ENSMFAG00000039230,TRIM45
ENSMFAG00000022253,METTL18
ENSMFAG00000002744,FMO5
ENSMFAG00000042166,PLCH1
ENSMFAG00000035826,ATP13A2
ENSMFAG00000059526,SNAPIN
ENSMFAG00000044100,SMAP2
ENSMFAG00000043807,TP73
ENSMFAG00000037534,ATP5PB
ENSMFAG00000047639,TAL1
ENSMFAG00000043408,ZZZ3
ENSMFAG00000002324,PDZK1IP1
ENSMFAG00000037200,SEC13
ENSMFAG00000039413,SYT11
ENSMFAG00000043752,DUSP23
ENSMFAG00000003965,TGFBR2
ENSMFAG00000045452,CHTOP
ENSMFAG00000028569,COL9A2
ENSMFAG00000042796,CYP4A45P
ENSMFAG00000021769,OR2M4
ENSMFAG00000022778,U6
ENSMFAG00000030055,WDR77
ENSMFAG00000039162,COX20
ENSMFAG00000033865,CD101
ENSMFAG00000038821,ST3GAL3
ENSMFAG00000040178,PRKAB2
ENSMFAG00000001110,LIN9
ENSMFAG00000041764,CRP
ENSMFAG00000042548,CFAP100
ENSMFAG00000021129,U3
ENSMFAG00000044660,
ENSMFAG00000041049,GLIS1
ENSMFAG00000044167,ZMPSTE24
ENSMFAG00000000631,CYP4X1
ENSMFAG00000033986,STAG1
ENSMFAG00000028035,GPR160
ENSMFAG00000057662,APCS
ENSMFAG00000041335,S100A1
ENSMFAG00000002712,C4BPB
ENSMFAG00000001728,WRAP73
ENSMFAG00000002890,SCYL3
ENSMFAG00000001765,EFCAB7
ENSMFAG00000038301,PTGFRN
ENSMFAG00000020783,U4
ENSMFAG00000045968,MFAP2
ENSMFAG00000021282,U1
ENSMFAG00000032020,S100A16
ENSMFAG00000032549,DESI2
ENSMFAG00000032544,CYP4A11
ENSMFAG00000002322,OR2AK2
ENSMFAG00000034315,OVGP1
ENSMFAG00000040855,DMRTB1
ENSMFAG00000035960,GON4L
ENSMFAG00000036150,CD2
ENSMFAG00000003648,S100A2
ENSMFAG00000043368,AK5
ENSMFAG00000031207,CYP4B1
ENSMFAG00000042703,S100A3
ENSMFAG00000059830,FCER1A
ENSMFAG00000004859,U6
ENSMFAG00000002550,KLF15
ENSMFAG00000038683,TMCO2
ENSMFAG00000034130,PHC3
ENSMFAG00000002526,PARP1
ENSMFAG00000034151,ATP2B2
ENSMFAG00000063124,S100A4
ENSMFAG00000036375,NCF2
ENSMFAG00000020196,OR2W3
ENSMFAG00000038669,KDM4A
ENSMFAG00000000910,IGSF3
ENSMFAG00000046115,S100A5
ENSMFAG00000001299,RLF
ENSMFAG00000037093,TPRG1L
ENSMFAG00000045739,ANKRD28
ENSMFAG00000058777,U1
ENSMFAG00000061989,TRIM58
ENSMFAG00000065166,U1
ENSMFAG00000050751,ACKR1
ENSMFAG00000005378,SCARNA3
ENSMFAG00000039131,CD55
ENSMFAG00000054552,U1
ENSMFAG00000050150,U1
ENSMFAG00000056017,U1
ENSMFAG00000008707,U6
ENSMFAG00000033300,RBMS3
ENSMFAG00000054993,U3
ENSMFAG00000054604,U1
ENSMFAG00000033601,PIGK
ENSMFAG00000044331,OR11L1
ENSMFAG00000035398,STUM
ENSMFAG00000060985,U1
ENSMFAG00000054730,U1
ENSMFAG00000061166,U1
ENSMFAG00000003339,CHIA
ENSMFAG00000024756,CADM3
ENSMFAG00000042899,CD58
ENSMFAG00000059556,U1
ENSMFAG00000030675,KIFAP3
ENSMFAG00000041946,OR1C1
ENSMFAG00000038571,
ENSMFAG00000041884,ST6GALNAC5
ENSMFAG00000035876,ITPKB
ENSMFAG00000056574,U6
ENSMFAG00000041804,
ENSMFAG00000040580,PAPPA2
ENSMFAG00000039614,
ENSMFAG00000036678,ARPC5
ENSMFAG00000062900,ZBED2
ENSMFAG00000031664,MSTO1
ENSMFAG00000000314,
ENSMFAG00000040493,U6
ENSMFAG00000026603,OR13G1
ENSMFAG00000043348,HYI
ENSMFAG00000033487,CATSPERE
ENSMFAG00000046327,TXNIP
ENSMFAG00000031835,AIM2
ENSMFAG00000042910,PRKCI
ENSMFAG00000034535,
ENSMFAG00000038282,ST6GALNAC3
ENSMFAG00000029038,PPT1
ENSMFAG00000058716,U6
ENSMFAG00000039810,ALDH1L1
ENSMFAG00000000107,PSEN2
ENSMFAG00000001986,CD96
ENSMFAG00000056426,U6
ENSMFAG00000036788,
ENSMFAG00000001219,POLR3GL
ENSMFAG00000056090,GCSAML
ENSMFAG00000002258,
ENSMFAG00000000103,CFAP126
ENSMFAG00000037152,CHI3L2
ENSMFAG00000044899,ASB17
ENSMFAG00000029702,
ENSMFAG00000029995,SKIL
ENSMFAG00000032110,RGL1
ENSMFAG00000045043,COQ8A
ENSMFAG00000034219,ATP1A1
ENSMFAG00000033466,
ENSMFAG00000039668,
ENSMFAG00000046003,
ENSMFAG00000039763,TEX38
ENSMFAG00000040128,CLDN11
ENSMFAG00000029820,OR2B11
ENSMFAG00000031809,LIX1L
ENSMFAG00000041789,IFI16
ENSMFAG00000039568,S100A8
ENSMFAG00000038806,MSH4
ENSMFAG00000031018,LRP8
ENSMFAG00000042114,SDHC
ENSMFAG00000005068,U6
ENSMFAG00000032560,SLC7A14
ENSMFAG00000033114,S100A12
ENSMFAG00000003296,
ENSMFAG00000030680,CR2
ENSMFAG00000032003,MOB3C
ENSMFAG00000036723,MEGF6
ENSMFAG00000033539,BTD
ENSMFAG00000045376,RBM8A
ENSMFAG00000045130,S100A9
ENSMFAG00000036546,DENND2D
ENSMFAG00000016006,SLC35G2
ENSMFAG00000038424,NLRP3
ENSMFAG00000004239,C3orf33
ENSMFAG00000001759,MPZ
ENSMFAG00000001084,NECTIN3
ENSMFAG00000002961,PGLYRP4
ENSMFAG00000041093,
ENSMFAG00000000883,PYHIN1
ENSMFAG00000001853,GORAB
ENSMFAG00000034176,SLC6A11
ENSMFAG00000052603,U3
ENSMFAG00000002743,SZT2
ENSMFAG00000003043,ASTN1
ENSMFAG00000064812,U6
ENSMFAG00000044882,NCK1
ENSMFAG00000042466,MAB21L3
ENSMFAG00000035433,ZNF496
ENSMFAG00000000787,COLGALT2
ENSMFAG00000040293,PGLYRP3
ENSMFAG00000044191,CEPT1
ENSMFAG00000036663,CAP1
ENSMFAG00000041383,RPL22L1
ENSMFAG00000026976,MKNK1
ENSMFAG00000030092,U1
ENSMFAG00000050061,PRRX1
ENSMFAG00000050018,U6
ENSMFAG00000042672,SLC22A15
ENSMFAG00000031112,DAP3
ENSMFAG00000045437,IL20RB
ENSMFAG00000036131,CDC42BPA
ENSMFAG00000039350,GMPS
ENSMFAG00000044188,
ENSMFAG00000032655,ACADM
ENSMFAG00000029238,SOX14
ENSMFAG00000032595,EIF5A2
ENSMFAG00000043233,
ENSMFAG00000041032,ZNF124
ENSMFAG00000039666,
ENSMFAG00000036316,
ENSMFAG00000012240,PRR9
ENSMFAG00000004437,MROH9
ENSMFAG00000003599,CR1
ENSMFAG00000007438,SLC6A1
ENSMFAG00000014321,U1
ENSMFAG00000034241,HACL1
ENSMFAG00000043309,ITGA10
ENSMFAG00000044667,NR1I3
ENSMFAG00000041655,CLDN18
ENSMFAG00000045855,LRIF1
ENSMFAG00000029972,SPTA1
ENSMFAG00000042482,CASQ2
ENSMFAG00000003568,SLC41A3
ENSMFAG00000057316,U3
ENSMFAG00000003330,MFSD2A
ENSMFAG00000038078,SLC2A2
ENSMFAG00000039471,FMO3
ENSMFAG00000035446,
ENSMFAG00000043324,ZCWPW2
ENSMFAG00000036320,DPPA4
ENSMFAG00000037321,TSEN15
ENSMFAG00000037311,ZNF670
ENSMFAG00000027605,
ENSMFAG00000033160,
ENSMFAG00000044566,
ENSMFAG00000041396,ALG6
ENSMFAG00000041691,DZIP1L
ENSMFAG00000032889,AZI2
ENSMFAG00000004130,U6
ENSMFAG00000000860,VANGL1
ENSMFAG00000029184,SMCP
ENSMFAG00000045183,FMO2
ENSMFAG00000031541,
ENSMFAG00000044276,C3orf85
ENSMFAG00000052856,FOXD3
ENSMFAG00000032077,KCNAB1
ENSMFAG00000029625,MYCL
ENSMFAG00000045835,C1orf21
ENSMFAG00000035374,
ENSMFAG00000038279,ATG4C
ENSMFAG00000002919,CD53
ENSMFAG00000045471,KNCN
ENSMFAG00000013553,
ENSMFAG00000020370,OR6Y1
ENSMFAG00000039698,TSPAN2
ENSMFAG00000002012,EOMES
ENSMFAG00000045636,FMO1
ENSMFAG00000040261,ROPN1B
ENSMFAG00000030336,HRH1
ENSMFAG00000023643,
ENSMFAG00000003460,MORC1
ENSMFAG00000030059,U1
ENSMFAG00000001316,TRIT1
ENSMFAG00000032349,EDEM3
ENSMFAG00000016019,
ENSMFAG00000039039,OR10R2
ENSMFAG00000000324,CR1L
ENSMFAG00000000330,TSHB
ENSMFAG00000044778,OSBPL11
ENSMFAG00000043642,DBR1
ENSMFAG00000046153,FAAH
ENSMFAG00000035394,
ENSMFAG00000044310,
ENSMFAG00000032390,DOCK7
ENSMFAG00000034507,
ENSMFAG00000043913,SYCP1
ENSMFAG00000007623,KCNA3
ENSMFAG00000039273,TNIK
ENSMFAG00000036550,BRINP2
ENSMFAG00000058375,DMBX1
ENSMFAG00000045763,AHCTF1
ENSMFAG00000020533,
ENSMFAG00000040779,ATG7
ENSMFAG00000033185,CD1E
ENSMFAG00000000561,KCNA2
ENSMFAG00000038111,SLC44A5
ENSMFAG00000040321,SNX4
ENSMFAG00000065033,SSR3
ENSMFAG00000003828,CD46
ENSMFAG00000036590,EAF1
ENSMFAG00000030064,LCE5A
ENSMFAG00000065061,ZBTB18
ENSMFAG00000040538,SEC16B
ENSMFAG00000041908,
ENSMFAG00000016078,KCNA10
ENSMFAG00000032860,FMO4
ENSMFAG00000050774,U6
ENSMFAG00000000748,SLC4A7
ENSMFAG00000040611,TIPARP
ENSMFAG00000039664,CRNN
ENSMFAG00000036117,ANKRD35
ENSMFAG00000029321,PROK1
ENSMFAG00000050337,U6
ENSMFAG00000031586,
ENSMFAG00000036603,NSUN4
ENSMFAG00000000654,METTL6
ENSMFAG00000056605,U6
ENSMFAG00000000519,PRRC2C
ENSMFAG00000042380,LAMTOR5
ENSMFAG00000036859,ARMC8
ENSMFAG00000013716,TOMM40L
ENSMFAG00000058792,U6
ENSMFAG00000031349,
ENSMFAG00000032575,LEKR1
ENSMFAG00000054571,RPTN
ENSMFAG00000002082,PPIE
ENSMFAG00000001990,PIAS3
ENSMFAG00000003674,CSDE1
ENSMFAG00000033261,AKT3
ENSMFAG00000016783,U6
ENSMFAG00000013917,U6
ENSMFAG00000009745,VGLL4
ENSMFAG00000060454,U3
ENSMFAG00000008492,U6
ENSMFAG00000012010,MIR29C
ENSMFAG00000039392,MYOCOS
ENSMFAG00000065203,TCHHL1
ENSMFAG00000032705,RASAL2
ENSMFAG00000030464,GUCA1C
ENSMFAG00000031068,APOA2
ENSMFAG00000046261,ARHGEF16
ENSMFAG00000041678,MYOC
ENSMFAG00000004660,ASH1L
ENSMFAG00000039635,LRRC41
ENSMFAG00000042456,NUDT17
ENSMFAG00000064988,U6
ENSMFAG00000041455,SLC16A4
ENSMFAG00000033968,HPCAL4
ENSMFAG00000033931,TAMM41
ENSMFAG00000007083,ANGPTL3
ENSMFAG00000002057,TRAT1
ENSMFAG00000031870,VAMP4
ENSMFAG00000056414,NT5C1A
ENSMFAG00000043530,USP1
ENSMFAG00000032538,ZNF148
ENSMFAG00000036583,RNF2
ENSMFAG00000001867,CAPN7
ENSMFAG00000040799,LHX8
ENSMFAG00000044914,S100A10
ENSMFAG00000035419,SPATA21
ENSMFAG00000045585,HEYL
ENSMFAG00000043727,FCER1G
ENSMFAG00000036508,PRDM16
ENSMFAG00000042006,MED8
ENSMFAG00000040338,POLR3C
ENSMFAG00000048833,RETNLB
ENSMFAG00000043012,JMJD4
ENSMFAG00000032159,KANK4
ENSMFAG00000032445,NME9
ENSMFAG00000045158,METTL13
ENSMFAG00000044229,CD1D
ENSMFAG00000041481,PABPC4
ENSMFAG00000032182,THEM4
ENSMFAG00000030104,CCNL1
ENSMFAG00000032145,MAGOH
ENSMFAG00000033623,
ENSMFAG00000004561,U6
ENSMFAG00000006003,CD34
ENSMFAG00000042451,RNF115
ENSMFAG00000000296,
ENSMFAG00000031241,RAD54L
ENSMFAG00000031887,L1TD1
ENSMFAG00000040143,MRAS
ENSMFAG00000027888,SNORA55
ENSMFAG00000029929,RBM15
ENSMFAG00000037592,TRMT1L
ENSMFAG00000003747,FBXO42
ENSMFAG00000001190,SNAP47
ENSMFAG00000062326,U6
ENSMFAG00000008800,ACTRT2
ENSMFAG00000002753,
ENSMFAG00000036324,SLC12A8
ENSMFAG00000065071,U6
ENSMFAG00000003496,TYW3
ENSMFAG00000000375,ADAMTS4
ENSMFAG00000036741,LURAP1
ENSMFAG00000018292,PDZK1
ENSMFAG00000034013,KIRREL1
ENSMFAG00000040960,CLEC20A
ENSMFAG00000030925,
ENSMFAG00000038263,ESYT3
ENSMFAG00000041997,SYN2
ENSMFAG00000035372,DNM3
ENSMFAG00000046238,DZIP3
ENSMFAG00000003249,PLXNA2
ENSMFAG00000036827,NRAS
ENSMFAG00000028355,
ENSMFAG00000000807,RORC
ENSMFAG00000045626,PRSS38
ENSMFAG00000064535,U3
ENSMFAG00000040882,CPT2
ENSMFAG00000045247,SDCCAG8
ENSMFAG00000044826,PATJ
ENSMFAG00000042892,RUSC1
ENSMFAG00000041432,MMEL1
ENSMFAG00000041095,
ENSMFAG00000043410,VEPH1
ENSMFAG00000052563,U6
ENSMFAG00000001542,CDC20
ENSMFAG00000006695,MIR205
ENSMFAG00000039953,PPOX
ENSMFAG00000001186,COL6A5
ENSMFAG00000062558,WNT9A
ENSMFAG00000002458,KCNC4
ENSMFAG00000039124,ARHGEF19
ENSMFAG00000002653,CAMK1G
ENSMFAG00000031793,SWT1
ENSMFAG00000043835,CD160
ENSMFAG00000038085,AMPD1
ENSMFAG00000046254,TEX35
ENSMFAG00000002554,HEG1
ENSMFAG00000029272,LINGO4
ENSMFAG00000042689,WNT3A
ENSMFAG00000038255,CEP70
ENSMFAG00000037129,CD5L
ENSMFAG00000000070,POMGNT1
ENSMFAG00000041399,SLC1A7
ENSMFAG00000036577,ERICH3
