Gene stable ID,Gene name,Crab-eating macaque gene stable ID,Crab-eating macaque gene name,Crab-eating macaque homology type,Crab-eating macaque orthology confidence
ENSMUSG00000047161,Chst9,ENSMFAG00000037917,CHST9,ortholog_one2one,1.0
ENSMUSG00000024304,Cdh2,ENSMFAG00000004661,CDH2,ortholog_one2one,1.0
ENSMUSG00000052713,Zfp608,ENSMFAG00000043739,ZNF608,ortholog_one2one,1.0
ENSMUSG00000001700,Gramd2b,ENSMFAG00000044063,GRAMD2B,ortholog_one2one,1.0
ENSMUSG00000024331,Dsc2,ENSMFAG00000045076,DSC2,ortholog_one2one,1.0
ENSMUSG00000024590,Lmnb1,ENSMFAG00000033746,LMNB1,ortholog_one2one,1.0
ENSMUSG00000056632,Dsg3,ENSMFAG00000031707,DSG3,ortholog_one2one,1.0
ENSMUSG00000033863,Klf9,ENSMFAG00000035395,KLF9,ortholog_one2one,1.0
ENSMUSG00000056124,B4galt6,ENSMFAG00000033017,B4GALT6,ortholog_one2one,1.0
ENSMUSG00000024593,Megf10,ENSMFAG00000042999,MEGF10,ortholog_one2one,1.0
ENSMUSG00000033207,Mamdc2,ENSMFAG00000035807,MAMDC2,ortholog_one2one,1.0
ENSMUSG00000074925,Ptar1,ENSMFAG00000039090,PTAR1,ortholog_one2one,1.0
ENSMUSG00000042680,Garem1,ENSMFAG00000039588,GAREM1,ortholog_one2one,1.0
ENSMUSG00000024598,Fbn2,ENSMFAG00000041645,FBN2,ortholog_one2one,1.0
ENSMUSG00000024812,Tjp2,ENSMFAG00000001435,TJP2,ortholog_one2one,1.0
ENSMUSG00000042514,Klhl14,ENSMFAG00000043081,KLHL14,ortholog_one2one,1.0
ENSMUSG00000024600,Slc27a6,ENSMFAG00000041201,SLC27A6,ortholog_one2one,1.0
ENSMUSG00000024867,Pip5k1b,ENSMFAG00000038711,PIP5K1B,ortholog_one2one,1.0
ENSMUSG00000024601,Isoc1,ENSMFAG00000043883,ISOC1,ortholog_one2one,1.0
ENSMUSG00000053441,Adamts19,ENSMFAG00000043585,ADAMTS19,ortholog_one2one,1.0
ENSMUSG00000041731,Pgm5,ENSMFAG00000045131,PGM5,ortholog_one2one,1.0
ENSMUSG00000041923,Nol4,ENSMFAG00000031845,NOL4,ortholog_one2one,1.0
ENSMUSG00000024302,Dtna,ENSMFAG00000031040,DTNA,ortholog_one2one,1.0
ENSMUSG00000025076,Casp7,ENSMFAG00000045136,CASP7,ortholog_one2one,1.0
ENSMUSG00000052085,Dock8,ENSMFAG00000008069,DOCK8,ortholog_one2one,1.0
ENSMUSG00000032702,Kank1,ENSMFAG00000036947,KANK1,ortholog_one2one,1.0
ENSMUSG00000042372,Dmrt3,ENSMFAG00000045391,DMRT3,ortholog_one2one,1.0
ENSMUSG00000048138,Dmrt2,ENSMFAG00000040812,DMRT2,ortholog_one2one,1.0
ENSMUSG00000040446,Rprd1a,ENSMFAG00000000125,RPRD1A,ortholog_one2one,1.0
ENSMUSG00000034320,Slc26a2,ENSMFAG00000042946,SLC26A2,ortholog_one2one,1.0
ENSMUSG00000024269,Tpgs2,ENSMFAG00000003229,TPGS2,ortholog_one2one,1.0
ENSMUSG00000033871,Ppargc1b,ENSMFAG00000042269,PPARGC1B,ortholog_one2one,1.0
ENSMUSG00000024268,Celf4,ENSMFAG00000042983,CELF4,ortholog_one2one,1.0
ENSMUSG00000020601,Trib2,ENSMFAG00000042686,TRIB2,ortholog_one2one,1.0
ENSMUSG00000071234,Syndig1l,ENSMFAG00000039919,SYNDIG1L,ortholog_one2one,1.0
