Gene stable ID,Gene name,Crab-eating macaque gene stable ID,Crab-eating macaque gene name,Crab-eating macaque homology type,Crab-eating macaque orthology confidence
ENSMUSG00000064345,mt-Nd2,ENSMFAG00000050431,ND2,ortholog_one2one,1.0
ENSMUSG00000064351,mt-Co1,ENSMFAG00000060073,COX1,ortholog_one2one,1.0
ENSMUSG00000064354,mt-Co2,ENSMFAG00000055785,COX2,ortholog_one2one,1.0
ENSMUSG00000064357,mt-Atp6,ENSMFAG00000053176,ATP6,ortholog_one2one,1.0
ENSMUSG00000064358,mt-Co3,ENSMFAG00000060632,COX3,ortholog_one2one,1.0
ENSMUSG00000064360,mt-Nd3,ENSMFAG00000065538,ND3,ortholog_one2one,1.0
ENSMUSG00000065947,mt-Nd4l,ENSMFAG00000049515,ND4L,ortholog_one2one,1.0
ENSMUSG00000064363,mt-Nd4,ENSMFAG00000057489,ND4,ortholog_one2one,1.0
ENSMUSG00000064367,mt-Nd5,ENSMFAG00000053671,ND5,ortholog_one2one,1.0
ENSMUSG00000047161,Chst9,ENSMFAG00000037917,CHST9,ortholog_one2one,1.0
ENSMUSG00000024304,Cdh2,ENSMFAG00000004661,CDH2,ortholog_one2one,1.0
ENSMUSG00000048799,Cep120,ENSMFAG00000000165,CEP120,ortholog_one2one,1.0
ENSMUSG00000073563,Csnk1g3,ENSMFAG00000031684,CSNK1G3,ortholog_one2one,1.0
ENSMUSG00000052713,Zfp608,ENSMFAG00000043739,ZNF608,ortholog_one2one,1.0
ENSMUSG00000001700,Gramd2b,ENSMFAG00000044063,GRAMD2B,ortholog_one2one,1.0
ENSMUSG00000024331,Dsc2,ENSMFAG00000045076,DSC2,ortholog_one2one,1.0
ENSMUSG00000044322,Dsc1,ENSMFAG00000035735,DSC1,ortholog_one2one,1.0
ENSMUSG00000001804,Dsg4,ENSMFAG00000031939,DSG4,ortholog_one2one,1.0
ENSMUSG00000008301,Phax,ENSMFAG00000049514,PHAX,ortholog_one2one,1.0
ENSMUSG00000032900,Spmip10,ENSMFAG00000042605,SPMIP10,ortholog_one2one,1.0
ENSMUSG00000024590,Lmnb1,ENSMFAG00000033746,LMNB1,ortholog_one2one,1.0
ENSMUSG00000032656,Marchf3,ENSMFAG00000046331,MARCHF3,ortholog_one2one,1.0
ENSMUSG00000056632,Dsg3,ENSMFAG00000031707,DSG3,ortholog_one2one,1.0
ENSMUSG00000033863,Klf9,ENSMFAG00000035395,KLF9,ortholog_one2one,1.0
ENSMUSG00000025075,Habp2,ENSMFAG00000037647,HABP2,ortholog_one2one,1.0
ENSMUSG00000056124,B4galt6,ENSMFAG00000033017,B4GALT6,ortholog_one2one,1.0
ENSMUSG00000024593,Megf10,ENSMFAG00000042999,MEGF10,ortholog_one2one,1.0
ENSMUSG00000033382,Trappc8,ENSMFAG00000039323,TRAPPC8,ortholog_one2one,1.0
ENSMUSG00000033207,Mamdc2,ENSMFAG00000035807,MAMDC2,ortholog_one2one,1.0
ENSMUSG00000024317,Rnf138,ENSMFAG00000040383,RNF138,ortholog_one2one,1.0
ENSMUSG00000033053,Cfap95,ENSMFAG00000034619,CFAP95,ortholog_one2one,1.0
ENSMUSG00000074925,Ptar1,ENSMFAG00000039090,PTAR1,ortholog_one2one,1.0
ENSMUSG00000024313,Mep1b,ENSMFAG00000045964,MEP1B,ortholog_one2one,1.0
ENSMUSG00000042680,Garem1,ENSMFAG00000039588,GAREM1,ortholog_one2one,1.0
ENSMUSG00000071604,Entrep1,ENSMFAG00000032849,ENTREP1,ortholog_one2one,1.0
ENSMUSG00000024598,Fbn2,ENSMFAG00000041645,FBN2,ortholog_one2one,1.0
ENSMUSG00000024812,Tjp2,ENSMFAG00000001435,TJP2,ortholog_one2one,1.0
ENSMUSG00000059363,Fxn,ENSMFAG00000041923,FXN,ortholog_one2one,1.0
ENSMUSG00000042514,Klhl14,ENSMFAG00000043081,KLHL14,ortholog_one2one,1.0
ENSMUSG00000024600,Slc27a6,ENSMFAG00000041201,SLC27A6,ortholog_one2one,1.0
ENSMUSG00000024867,Pip5k1b,ENSMFAG00000038711,PIP5K1B,ortholog_one2one,1.0
ENSMUSG00000024601,Isoc1,ENSMFAG00000043883,ISOC1,ortholog_one2one,1.0
ENSMUSG00000053441,Adamts19,ENSMFAG00000043585,ADAMTS19,ortholog_one2one,1.0
ENSMUSG00000048572,Tmem252,ENSMFAG00000062896,TMEM252,ortholog_one2one,1.0
ENSMUSG00000041731,Pgm5,ENSMFAG00000045131,PGM5,ortholog_one2one,1.0
ENSMUSG00000049134,Nrap,ENSMFAG00000001231,NRAP,ortholog_one2one,1.0
ENSMUSG00000041923,Nol4,ENSMFAG00000031845,NOL4,ortholog_one2one,1.0
ENSMUSG00000024604,Rbm22,ENSMFAG00000004034,RBM22,ortholog_one2one,1.0
ENSMUSG00000024302,Dtna,ENSMFAG00000031040,DTNA,ortholog_one2one,1.0
ENSMUSG00000025076,Casp7,ENSMFAG00000045136,CASP7,ortholog_one2one,1.0
ENSMUSG00000052085,Dock8,ENSMFAG00000008069,DOCK8,ortholog_one2one,1.0
ENSMUSG00000024277,Mapre2,ENSMFAG00000000599,MAPRE2,ortholog_one2one,1.0
ENSMUSG00000032702,Kank1,ENSMFAG00000036947,KANK1,ortholog_one2one,1.0
ENSMUSG00000024276,Zfp397,ENSMFAG00000038856,ZNF397,ortholog_one2one,1.0
ENSMUSG00000051469,Zfp24,ENSMFAG00000030811,ZNF24,ortholog_one2one,1.0
