gene_identifier,gene_symbol,name,mapped_ncbi_identifier,comment
ENSMUSG00000026676,Ccdc3,coiled-coil domain containing 3,NCBIGene:74186,
ENSMUSG00000024517,Grp,gastrin releasing peptide,NCBIGene:225642,
ENSMUSG00000029361,Nos1,"nitric oxide synthase 1, neuronal",NCBIGene:18125,
ENSMUSG00000062372,Otof,otoferlin,NCBIGene:83762,
ENSMUSG00000055639,Dach1,dachshund family transcription factor 1,NCBIGene:13134,
ENSMUSG00000021662,Arhgef28,Rho guanine nucleotide exchange factor (GEF) 28,NCBIGene:110596,
ENSMUSG00000047945,Marcksl1,MARCKS-like 1,NCBIGene:17357,
ENSMUSG00000055761,Nkain3,Na+/K+ transporting ATPase interacting 3,NCBIGene:269513,
ENSMUSG00000068735,Trp53i11,transformation related protein 53 inducible protein 11,NCBIGene:277414,
ENSMUSG00000021010,Npas3,neuronal PAS domain protein 3,NCBIGene:27386,
ENSMUSG00000070695,Cntnap5a,contactin associated protein-like 5A,NCBIGene:636808,
ENSMUSG00000046607,Hrk,"harakiri, BCL2 interacting protein (contains only BH3 domain)",NCBIGene:12123,
ENSMUSG00000028019,Pdgfc,"platelet-derived growth factor, C polypeptide",NCBIGene:54635,
ENSMUSG00000057378,Ryr3,ryanodine receptor 3,NCBIGene:20192,
ENSMUSG00000037362,Ccn3,cellular communication network factor 3,NCBIGene:18133,
ENSMUSG00000030905,Crym,"crystallin, mu",NCBIGene:12971,
ENSMUSG00000046318,Ccbe1,collagen and calcium binding EGF domains 1,NCBIGene:320924,
ENSMUSG00000027978,Prss12,"protease, serine 12 neurotrypsin (motopsin)",NCBIGene:19142,
ENSMUSG00000020354,Sgcd,"sarcoglycan, delta (dystrophin-associated glycoprotein)",NCBIGene:24052,
ENSMUSG00000058420,Syt17,synaptotagmin XVII,NCBIGene:110058,
ENSMUSG00000036218,Pdzrn4,PDZ domain containing RING finger 4,NCBIGene:239618,
ENSMUSG00000017466,Timp2,tissue inhibitor of metalloproteinase 2,NCBIGene:21858,
ENSMUSG00000063065,Mapk3,mitogen-activated protein kinase 3,NCBIGene:26417,
ENSMUSG00000022324,Matn2,matrilin 2,NCBIGene:17181,
ENSMUSG00000023886,Smoc2,SPARC related modular calcium binding 2,NCBIGene:64074,
ENSMUSG00000022306,Zfpm2,"zinc finger protein, multitype 2",NCBIGene:22762,
ENSMUSG00000020728,Cep112,centrosomal protein 112,NCBIGene:76380,
ENSMUSG00000024713,Pcsk5,proprotein convertase subtilisin/kexin type 5,NCBIGene:18552,
ENSMUSG00000041272,Tox,thymocyte selection-associated high mobility group box,NCBIGene:252838,
ENSMUSG00000039579,Grin3a,"glutamate receptor ionotropic, NMDA3A",NCBIGene:242443,
ENSMUSG00000027210,Meis2,Meis homeobox 2,NCBIGene:17536,
ENSMUSG00000019888,Mgat4c,"MGAT4 family, member C",NCBIGene:67569,
ENSMUSG00000024211,Grm8,"glutamate receptor, metabotropic 8",NCBIGene:14823,
ENSMUSG00000002688,Prkd1,protein kinase D1,NCBIGene:18760,
ENSMUSG00000027977,Ndst3,N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3,NCBIGene:83398,
ENSMUSG00000024074,Crim1,cysteine rich transmembrane BMP regulator 1 (chordin like),NCBIGene:50766,
ENSMUSG00000063297,Luzp2,leucine zipper protein 2,NCBIGene:233271,
ENSMUSG00000028347,Tmeff1,transmembrane protein with EGF-like and two follistatin-like domains 1,NCBIGene:230157,
ENSMUSG00000034209,Rasl10a,"RAS-like, family 10, member A",NCBIGene:75668,
ENSMUSG00000060961,Slc4a4,"solute carrier family 4 (anion exchanger), member 4",NCBIGene:54403,
ENSMUSG00000030092,Cntn6,contactin 6,NCBIGene:53870,
ENSMUSG00000025255,Zfhx4,zinc finger homeodomain 4,NCBIGene:80892,
ENSMUSG00000028601,Echdc2,enoyl Coenzyme A hydratase domain containing 2,NCBIGene:52430,
ENSMUSG00000020607,Lratd1,LRAT domain containing 1,NCBIGene:105005,
ENSMUSG00000020216,Jsrp1,junctional sarcoplasmic reticulum protein 1,NCBIGene:71912,
ENSMUSG00000022636,Alcam,activated leukocyte cell adhesion molecule,NCBIGene:11658,
ENSMUSG00000046182,Gsg1l,GSG1-like,NCBIGene:269994,
ENSMUSG00000035566,Pcdh17,protocadherin 17,NCBIGene:219228,
ENSMUSG00000061013,Mkx,mohawk homeobox,NCBIGene:210719,
ENSMUSG00000104969,Gm43445,predicted gene 43445,,
ENSMUSG00000071856,Mcc,mutated in colorectal cancers,NCBIGene:328949,
ENSMUSG00000033910,Gucy1a1,"guanylate cyclase 1, soluble, alpha 1",NCBIGene:60596,
ENSMUSG00000030199,Etv6,ets variant 6,NCBIGene:14011,
ENSMUSG00000014329,Bicc1,BicC family RNA binding protein 1,NCBIGene:83675,
ENSMUSG00000028222,Calb1,calbindin 1,NCBIGene:12307,
ENSMUSG00000051920,Rspo2,R-spondin 2,NCBIGene:239405,
ENSMUSG00000000305,Cdh4,cadherin 4,NCBIGene:12561,
ENSMUSG00000058897,Col25a1,"collagen, type XXV, alpha 1",NCBIGene:77018,
ENSMUSG00000097736,9530059O14Rik,RIKEN cDNA 9530059O14 gene,NCBIGene:319626,
ENSMUSG00000053963,Stum,mechanosensory transduction mediator,NCBIGene:381310,
ENSMUSG00000056296,Synpr,synaptoporin,NCBIGene:72003,
ENSMUSG00000019828,Grm1,"glutamate receptor, metabotropic 1",NCBIGene:14816,
ENSMUSG00000042589,Cux2,cut-like homeobox 2,NCBIGene:13048,
ENSMUSG00000036192,Rorb,RAR-related orphan receptor beta,NCBIGene:225998,
ENSMUSG00000022212,Cpne6,copine VI,NCBIGene:12891,
ENSMUSG00000026312,Cdh7,"cadherin 7, type 2",NCBIGene:241201,
ENSMUSG00000031841,Cdh13,cadherin 13,NCBIGene:12554,
ENSMUSG00000023809,Rps6ka2,"ribosomal protein S6 kinase, polypeptide 2",NCBIGene:20112,
ENSMUSG00000025221,Kcnip2,Kv channel-interacting protein 2,NCBIGene:80906,
ENSMUSG00000045287,Rtn4rl1,reticulon 4 receptor-like 1,NCBIGene:237847,
ENSMUSG00000042942,Greb1l,growth regulation by estrogen in breast cancer-like,NCBIGene:381157,
ENSMUSG00000030270,Cpne9,copine family member IX,NCBIGene:211232,
ENSMUSG00000026141,Col19a1,"collagen, type XIX, alpha 1",NCBIGene:12823,
ENSMUSG00000000440,Pparg,peroxisome proliferator activated receptor gamma,NCBIGene:19016,
ENSMUSG00000019990,Pde7b,phosphodiesterase 7B,NCBIGene:29863,
ENSMUSG00000024524,Gnal,"guanine nucleotide binding protein, alpha stimulating, olfactory type",NCBIGene:14680,
ENSMUSG00000047205,Dusp18,dual specificity phosphatase 18,NCBIGene:75219,
ENSMUSG00000049630,C1ql3,C1q-like 3,NCBIGene:227580,
ENSMUSG00000022883,Robo1,roundabout guidance receptor 1,NCBIGene:19876,
ENSMUSG00000092094,Zfp804b,zinc finger protein 804B,NCBIGene:207618,
ENSMUSG00000106515,Gm30382,"predicted gene, 30382",,
ENSMUSG00000021708,Rasgrf2,RAS protein-specific guanine nucleotide-releasing factor 2,NCBIGene:19418,
ENSMUSG00000009418,Nav1,neuron navigator 1,NCBIGene:215690,
ENSMUSG00000003746,Man1a,"mannosidase 1, alpha",NCBIGene:17155,
ENSMUSG00000066705,Fxyd6,FXYD domain-containing ion transport regulator 6,NCBIGene:59095,
ENSMUSG00000040536,Necab1,N-terminal EF-hand calcium binding protein 1,NCBIGene:69352,
ENSMUSG00000078816,Prkcg,"protein kinase C, gamma",NCBIGene:18752,
ENSMUSG00000033209,Ttc28,tetratricopeptide repeat domain 28,NCBIGene:209683,
ENSMUSG00000062760,Shisal1,shisa like 1,NCBIGene:72301,
ENSMUSG00000048004,Tmem196,transmembrane protein 196,NCBIGene:217951,
ENSMUSG00000026768,Itga8,integrin alpha 8,NCBIGene:241226,
ENSMUSG00000034755,Pcdh11x,protocadherin 11 X-linked,NCBIGene:245578,
ENSMUSG00000031932,Gpr83,G protein-coupled receptor 83,NCBIGene:14608,
ENSMUSG00000068696,Gpr88,G-protein coupled receptor 88,NCBIGene:64378,
ENSMUSG00000029659,Medag,mesenteric estrogen dependent adipogenesis,NCBIGene:70717,
ENSMUSG00000095139,Pou3f2,"POU domain, class 3, transcription factor 2",NCBIGene:18992,
ENSMUSG00000042671,Rgs8,regulator of G-protein signaling 8,NCBIGene:67792,
ENSMUSG00000041771,Slc24a4,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 4",NCBIGene:238384,
ENSMUSG00000025128,Bhlhe22,"basic helix-loop-helix family, member e22",NCBIGene:59058,
ENSMUSG00000058571,Gpc6,glypican 6,NCBIGene:23888,
ENSMUSG00000040183,Ankrd6,ankyrin repeat domain 6,NCBIGene:140577,
ENSMUSG00000019966,Kitl,kit ligand,NCBIGene:17311,
ENSMUSG00000037593,Rskr,ribosomal protein S6 kinase related,,
ENSMUSG00000039372,March4,membrane-associated ring finger (C3HC4) 4,NCBIGene:381270,
ENSMUSG00000059187,Tafa1,TAFA chemokine like family member 1,NCBIGene:320265,
ENSMUSG00000056427,Slit3,slit guidance ligand 3,NCBIGene:20564,
ENSMUSG00000033295,Ptprf,"protein tyrosine phosphatase, receptor type, F",NCBIGene:19268,
ENSMUSG00000091898,Tnnc1,"troponin C, cardiac/slow skeletal",NCBIGene:21924,
ENSMUSG00000001025,S100a6,S100 calcium binding protein A6 (calcyclin),NCBIGene:20200,
ENSMUSG00000022656,Nectin3,nectin cell adhesion molecule 3,NCBIGene:58998,
ENSMUSG00000031216,Stard8,START domain containing 8,NCBIGene:236920,
ENSMUSG00000046314,Stxbp6,syntaxin binding protein 6 (amisyn),NCBIGene:217517,
ENSMUSG00000037624,Kcnk2,"potassium channel, subfamily K, member 2",NCBIGene:16526,
ENSMUSG00000034402,Kcnh5,"potassium voltage-gated channel, subfamily H (eag-related), member 5",NCBIGene:238271,
ENSMUSG00000039601,Rcan2,regulator of calcineurin 2,NCBIGene:53901,
ENSMUSG00000042035,Igsf3,"immunoglobulin superfamily, member 3",NCBIGene:78908,
ENSMUSG00000027270,Lamp5,"lysosomal-associated membrane protein family, member 5",NCBIGene:76161,
ENSMUSG00000052560,Cpne8,copine VIII,NCBIGene:66871,
ENSMUSG00000024256,Adcyap1,adenylate cyclase activating polypeptide 1,NCBIGene:11516,
ENSMUSG00000034701,Neurod1,neurogenic differentiation 1,NCBIGene:18012,
ENSMUSG00000028173,Wls,wntless WNT ligand secretion mediator,NCBIGene:68151,
ENSMUSG00000022039,Adam2,a disintegrin and metallopeptidase domain 2,NCBIGene:11495,
ENSMUSG00000050840,Cdh20,cadherin 20,NCBIGene:23836,
ENSMUSG00000029151,Slc30a3,"solute carrier family 30 (zinc transporter), member 3",NCBIGene:22784,
ENSMUSG00000044071,Tafa2,TAFA chemokine like family member 2,NCBIGene:268354,
ENSMUSG00000104586,4921539H07Rik,RIKEN cDNA 4921539H07 gene,,
ENSMUSG00000039385,Cdh6,cadherin 6,NCBIGene:12563,
ENSMUSG00000047907,Tshz2,teashirt zinc finger family member 2,NCBIGene:228911,
ENSMUSG00000062866,Phactr2,phosphatase and actin regulator 2,NCBIGene:215789,
ENSMUSG00000036019,Tmtc2,transmembrane and tetratricopeptide repeat containing 2,NCBIGene:278279,
ENSMUSG00000035357,Pdzrn3,PDZ domain containing RING finger 3,NCBIGene:55983,
ENSMUSG00000032564,Cpne4,copine IV,NCBIGene:74020,
ENSMUSG00000112117,Rmst,rhabdomyosarcoma 2 associated transcript (non-coding RNA),NCBIGene:110333,
ENSMUSG00000037492,Zmat4,"zinc finger, matrin type 4",NCBIGene:320158,
ENSMUSG00000016763,Scube1,"signal peptide, CUB domain, EGF-like 1",NCBIGene:64706,
ENSMUSG00000028876,Epha10,Eph receptor A10,NCBIGene:230735,
ENSMUSG00000038305,Spats2l,"spermatogenesis associated, serine-rich 2-like",NCBIGene:67198,
ENSMUSG00000039059,Hrh3,histamine receptor H3,NCBIGene:99296,
ENSMUSG00000004633,Chn2,chimerin 2,NCBIGene:69993,
ENSMUSG00000084890,A830036E02Rik,RIKEN cDNA A830036E02 gene,NCBIGene:353123,
ENSMUSG00000042256,Ptchd4,patched domain containing 4,NCBIGene:627626,
ENSMUSG00000039057,Myo16,myosin XVI,NCBIGene:244281,
ENSMUSG00000113429,Gm20063,"predicted gene, 20063",NCBIGene:100504101,
ENSMUSG00000020953,Coch,cochlin,NCBIGene:12810,
ENSMUSG00000019647,Sema6a,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A",NCBIGene:20358,
ENSMUSG00000046818,Ddit4l,DNA-damage-inducible transcript 4-like,NCBIGene:73284,
ENSMUSG00000026167,Wnt10a,"wingless-type MMTV integration site family, member 10A",NCBIGene:22409,
ENSMUSG00000039137,Whrn,whirlin,NCBIGene:73750,
ENSMUSG00000027318,Adam33,a disintegrin and metallopeptidase domain 33,NCBIGene:110751,
ENSMUSG00000084898,Gm12371,predicted gene 12371,NCBIGene:100042132,
ENSMUSG00000028871,Rspo1,R-spondin 1,NCBIGene:192199,
ENSMUSG00000097028,Ptgs2os,"prostaglandin-endoperoxide synthase 2, opposite strand",NCBIGene:320019,
ENSMUSG00000097610,A930012L18Rik,RIKEN cDNA A930012L18 gene,NCBIGene:626275,
ENSMUSG00000106583,4930447N08Rik,RIKEN cDNA 4930447N08 gene,NCBIGene:71647,
ENSMUSG00000004415,Col26a1,"collagen, type XXVI, alpha 1",NCBIGene:140709,
ENSMUSG00000063600,Egfem1,EGF-like and EMI domain containing 1,NCBIGene:75740,
ENSMUSG00000053819,Camk2d,"calcium/calmodulin-dependent protein kinase II, delta",NCBIGene:108058,
ENSMUSG00000089706,B230216N24Rik,RIKEN cDNA B230216N24 gene,NCBIGene:78603,
ENSMUSG00000022376,Adcy8,adenylate cyclase 8,NCBIGene:11514,
ENSMUSG00000020912,Krt12,keratin 12,NCBIGene:268482,
ENSMUSG00000035131,Brinp3,bone morphogenetic protein/retinoic acid inducible neural specific 3,NCBIGene:215378,
ENSMUSG00000020672,Sntg2,"syntrophin, gamma 2",NCBIGene:268534,
ENSMUSG00000051146,Camk2n2,calcium/calmodulin-dependent protein kinase II inhibitor 2,NCBIGene:73047,
ENSMUSG00000024647,Cbln2,cerebellin 2 precursor protein,NCBIGene:12405,
ENSMUSG00000073565,Prr16,proline rich 16,NCBIGene:71373,
ENSMUSG00000060206,Zfp462,zinc finger protein 462,NCBIGene:242466,
ENSMUSG00000101621,Gm28905,predicted gene 28905,,
ENSMUSG00000059857,Ntng1,netrin G1,NCBIGene:80883,
ENSMUSG00000041329,Atp1b2,"ATPase, Na+/K+ transporting, beta 2 polypeptide",NCBIGene:11932,
ENSMUSG00000029822,Osbpl3,oxysterol binding protein-like 3,NCBIGene:71720,
ENSMUSG00000002459,Rgs20,regulator of G-protein signaling 20,NCBIGene:58175,
ENSMUSG00000096914,Galntl6,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6,NCBIGene:270049,
ENSMUSG00000036225,Kctd1,potassium channel tetramerisation domain containing 1,NCBIGene:106931,
ENSMUSG00000048332,Lhfp,lipoma HMGIC fusion partner,NCBIGene:108927,
ENSMUSG00000023046,Igfbp6,insulin-like growth factor binding protein 6,NCBIGene:16012,
ENSMUSG00000060424,Pantr1,"POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1",,
ENSMUSG00000023034,Nr4a1,"nuclear receptor subfamily 4, group A, member 1",NCBIGene:15370,
ENSMUSG00000023067,Cdkn1a,cyclin-dependent kinase inhibitor 1A (P21),NCBIGene:12575,
